"geoid","0.0","0.1","0.2+","1.0","1.1","1.2+","2.0","2.1","2.2+","3+.0","3+.1","3+.2+","GQ.GQ"
"04013107102",48,261,49,180,234,326,0,0,446,0,89,86,1
"04013107201",11,35,46,9,43,26,6,55,0,0,0,6,5463
"04013109001",101,35,65,287,386,119,38,227,209,0,60,142,95
"04013109101",0,84,76,7,69,259,7,48,181,0,0,205,2
"04013109102",75,118,55,18,262,186,201,27,337,0,13,345,0
"04013109200",137,132,0,140,359,221,6,79,245,30,0,203,0
"04013109300",0,69,102,0,70,175,0,27,329,0,0,394,5
"04013109900",16,221,43,55,302,339,55,26,616,0,13,265,7
"04013110001",6,65,114,0,107,151,0,0,237,0,0,290,0
"04013110002",0,36,64,3,318,289,0,15,512,0,0,142,0
"04013110100",28,99,96,82,206,274,20,190,433,0,69,218,0
"04013112100",11,3,65,31,25,284,0,51,282,18,16,271,2
"04013112201",74,20,70,0,60,303,0,140,438,0,0,203,16
"04013112202",112,407,38,0,245,188,0,0,278,0,0,179,113
"04013112301",184,188,27,48,580,142,0,131,390,0,0,307,0
"04013112302",36,226,141,179,342,178,108,164,479,33,41,262,0
"04013112401",0,149,55,0,437,423,5,41,359,0,0,233,0
"04013112402",0,63,82,0,80,321,0,11,570,0,0,192,0
"04013112507",9,41,0,78,164,412,15,123,146,0,0,43,0
"04013112601",132,132,58,67,279,110,0,63,233,0,29,59,0
"04013116900",0,26,5,13,83,137,18,21,170,10,0,101,463
