"geoid","MC","NS","SM","NF","GQ"
"06037900102",94,65,111,2,33
"06037900103",802,504,367,104,12
"06037900104",986,502,182,62,19
"06037901209",164,44,197,42,21
"06037901210",359,67,139,100,0
"06037910002",1089,554,234,173,0
"06037910804",685,125,180,62,0
"06037910808",766,218,112,56,2
"06037910810",589,122,110,15,0
"06037911001",703,117,456,30,36
"06037920015",1523,280,125,63,7
"06037920016",1247,127,179,43,0
"06037920020",1309,168,252,213,19
"06037920102",770,260,528,112,123
"06037920104",639,92,121,14,0
"06037920106",629,144,108,100,0
"06037920116",1141,235,160,12,0
"06037920118",1378,319,129,25,0
"06037920119",393,101,42,5,0
"06037920200",0,0,0,0,3604
"06037920303",383,103,139,85,0
"06037920326",1687,356,383,109,0
"06037920338",1342,174,169,53,0
"06037920339",2186,343,611,140,0
"06037980003",0,0,0,0,0
