"geoid","age<15","<=25K","26-50K","51-75K",">75K"
"12031014311",1717,1275,1440,792,187
"12031014500",1411,1138,1023,594,340
"12031014601",1443,1274,1011,563,1699
"12031014603",1686,943,1422,619,777
"12031014604",1725,1266,1477,565,912
"12031014702",2390,678,434,255,530
"12031014800",1852,2231,1285,369,478
"12031014901",1764,1778,1300,1008,399
"12031014902",3025,1765,1489,1698,1044
"12031015001",2095,1564,1512,644,713
"12031015002",1944,1064,1005,414,539
"12031015100",2422,1088,1182,297,392
"12031015200",783,881,1085,347,205
"12031015300",793,1104,574,479,351
"12031015400",751,598,688,163,143
"12031015501",1017,987,625,636,384
"12031015502",3269,1363,867,326,161
"12031015600",1084,896,1128,437,760
