"geoid","Employed","Unemployed","Not in labor force","< 16 yrs. old"
"480157601001",571,218,476,383
"480157601002",411,5,286,158
"480157604001",827,15,604,443
"480157604002",312,0,304,46
"480157604003",463,18,371,139
"480157605011",653,71,359,280
"480157605012",1089,30,815,399
"480157605013",187,0,308,88
"480157605021",586,0,280,201
"480157605022",320,0,292,271
"480157605023",854,8,288,582
"480157605024",637,0,691,528
"480897501001",54,0,66,37
"480897501002",1225,25,755,604
"480897501003",400,0,370,137
"480897501004",320,53,58,218
"480897502001",280,6,341,148
"480897502002",462,32,469,262
"480897503001",256,0,428,318
"480897503002",383,0,196,40
"480897503003",488,0,445,28
"480897503004",1235,58,723,493
"480897504001",569,1,499,222
"480897504002",537,0,315,254
"480897504003",505,11,583,230
"480897504004",736,0,306,132
"480897505001",906,42,841,312
"480897505002",438,0,93,264
"480897505003",161,33,389,191
"480897505004",232,11,362,418
"483217301001",517,17,285,332
"483217301002",87,112,234,667
"483217301003",381,5,390,117
"483217302021",496,0,520,141
"483217303011",414,39,208,649
"483217303012",147,95,153,55
"483217303013",439,19,117,49
"483217303014",630,95,375,206
"483217303021",330,211,300,94
"483217303022",504,129,160,241
"483217303023",1868,111,487,443
"483217303031",415,0,227,63
"483217304001",590,218,433,572
"483217304002",34,0,179,25
"483217304003",194,0,363,226
"483217306001",1014,0,376,462
"483217306002",703,0,370,186
"483217306003",305,25,331,146
"483217306004",114,0,533,0
"483217306005",585,0,524,286
"483217307001",564,78,287,93
"483217307002",301,38,249,96
"483217307003",252,0,207,243
"483217307004",236,0,406,224
"484736801001",1290,67,495,746
"484817401001",369,82,251,289
"484817401002",323,16,350,0
"484817401003",241,0,344,75
"484817401004",317,28,327,65
"484817401005",1104,0,479,364
"484817402001",253,10,214,200
"484817402002",441,41,233,303
"484817403001",264,51,190,170
"484817403002",316,21,278,237
"484817404001",170,16,162,0
"484817404002",683,7,689,366
"484817404003",263,52,196,101
"484817404004",815,0,681,668
"484817404005",265,0,418,0
"484817404006",602,27,118,151
"484817405001",769,23,464,269
"484817405002",919,59,499,173
"484817406001",773,8,573,386
"484817406002",189,26,164,44
"484817406003",607,15,512,494
"484817407001",760,35,424,348
"484817408001",419,63,272,65
"484817408002",538,0,300,409
"484817408003",878,0,488,441
"484817410001",475,90,280,282
"484817410002",221,0,142,20
"484817410003",1036,80,670,875
"484817410004",475,0,195,29
"484817411001",390,0,440,73
"484817411002",741,16,356,277
